,id,university,major,degree,season,decision,decision_method,decision_date,decision_timestamp,gpa,gre_verbal,gre_quant,gre_writing,new_gre,gre_subject,status,post_data,post_timestamp,comments,uni_faculty,uni_pub
5793,5793,Rice University,CS,PhD,F14,Rejected,E-mail,4-Dec-14,1397275200,,,,,,,International,12/4/14,1397275200,,19,2.8
5795,5795,Rice University,CS,PhD,F14,Rejected,E-mail,4-Dec-14,1397275200,,,,,,,International with US Degree,12/4/14,1397275200,"sad,  we regret to ....",19,2.8
5796,5796,Rice University,CS,PhD,F14,Rejected,E-mail,4-Dec-14,1397275200,,,,,,,American,12/4/14,1397275200,Short and polite email.,19,2.8
5797,5797,Northeastern University,CS,PhD,F14,Rejected,Website,4-Dec-14,1397275200,,,,,,,International,12/4/14,1397275200,,55,4.7
5798,5798,"Indiana University, Bloomington",CS,PhD,F14,Accepted,E-mail,2-Dec-14,1392181200,3.5,142,169,3,True,,International,12/4/14,1397275200,,42,2.6
5799,5799,"Indiana University, Bloomington",CS,PhD,F14,Accepted,E-mail,2-Dec-14,1392181200,3.5,142,169,3,True,,International,12/4/14,1397275200,,42,2.6
5800,5800,"University Of Michigan, Ann Arbor (UMich)",CS,PhD,F14,Accepted,E-mail,4-May-14,1396670400,3.5,142,169,3,True,,International,12/4/14,1397275200,I have applied for PhD.but accepted for Master,63,8.6
5801,5801,"University Of Michigan, Ann Arbor (UMich)",CS,PhD,F14,Accepted,E-mail,4-May-14,1396670400,3.5,142,169,3,True,,International,12/4/14,1397275200,I have applied for PhD.but accepted for Master,63,8.6
5802,5802,Arizona State University (ASU),CS,PhD,F14,Accepted,E-mail,2-Dec-14,1392181200,3.5,142,169,3,True,,International,12/4/14,1397275200,The professor contact me directly.I do not remember the exact date,26,2.3
5803,5803,Northeastern University,CS,PhD,F14,Rejected,Website,4-Nov-14,1397188800,3.5,142,169,3,True,,International,12/4/14,1397275200,,55,4.7
5807,5807,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,12/4/14,1397275200,So my profile isn't as good as I thought it was.,53,6.9
5808,5808,University Of Chicago (UChicago),CS,PhD,F14,Rejected,Website,4-Dec-14,1397275200,,,,,,,International,12/4/14,1397275200,Rejected after waitlist,23,2.7
5810,5810,"University Of Michigan, Ann Arbor (UMich)",CS,PhD,F14,Wait listed,E-mail,4-Dec-14,1397275200,,,,,,,Other,12/4/14,1397275200,"Anyone planning on decline an offer from UMich? if you want to decline the offer, please do it as soon as possible. It is really crucial to do it before/on April 15th. Thanks.",63,8.6
5811,5811,"University Of California, Irvine (UCI)",CS,PhD,F14,Wait listed,E-mail,4-Dec-14,1397275200,,,,,,,Other,12/4/14,1397275200,"Anyone planning on decline an offer from UCI? if you want to decline the offer, please do it as soon as possible. Thanks.",55,4.3
5812,5812,Nothwestern University,ECE,MS,F14,Accepted,E-mail,4-Nov-14,1397188800,3.67,148,165,3,True,,Other,12/4/14,1397275200,Very excited about this admission!! Wish everybody luck!!,37,3.4
5814,5814,"University Of Texas, Dallas (UT Dallas)",ECE,PhD,F14,Accepted,E-mail,4-Nov-14,1397188800,,,,,,,International,12/4/14,1397275200,"No word on funding. Told to apply to scholarships. Now got real problems on my hands pending April 15th. My hope is in you, LORD!",34,2.3
5817,5817,"University Of California, San Diego (UCSD)",CS,MS,F14,Accepted,E-mail,4-Jul-14,1396843200,,157,163,4.5,True,,American,11/4/14,1397188800,non CS undergrad; UCSD alum; 1.5 years industry experience,53,6.9
5818,5818,Virginia Tech,CS,MS,F14,Rejected,Website,4-Nov-14,1397188800,3.4,153,165,3,True,,International,11/4/14,1397188800,2 rejects in the space of 60 minutes :|,39,2.4
5821,5821,Drexel University,CS,PhD,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,"""..Competition for admissions is keen and we are able to offer admission to only a limited number of students...""",12,1.5
5822,5822,Cornell University,ECE,PhD,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,,68,8.7
5823,5823,Cornell University,ECE,PhD,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International with US Degree,11/4/14,1397188800,Somewhat expected.,68,8.7
5824,5824,Virginia Tech,CS,PhD,F14,Rejected,Website,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,We are unable to offer admission,39,2.4
5825,5825,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.5,162,150,5,True,,American,11/4/14,1397188800,"Such a long wait... doesn't matter, got into better Universities anyways.",53,6.9
5826,5826,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.86,158,170,4,True,,International,11/4/14,1397188800,"Bleh, who makes someone wait this long just for a reject?",53,6.9
5827,5827,"University Of California, Los Angeles (UCLA)",ECE,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International with US Degree,11/4/14,1397188800,,37,5
5828,5828,"University Of California, San Diego (UCSD)",ECE,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,,53,6.9
5829,5829,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,American,11/4/14,1397188800,,53,6.9
5830,5830,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International with US Degree,11/4/14,1397188800,,53,6.9
5833,5833,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.86,157,156,4,True,,American,11/4/14,1397188800,"Oh well.  I got a funded offer at another program, so no big deal.",53,6.9
5834,5834,"University Of Michigan, Ann Arbor (UMich)",CS,PhD,F14,Rejected,E-mail,4-Nov-14,1397188800,3.9,165,163,4,True,,American,11/4/14,1397188800,Very simple form email.,63,8.6
5837,5837,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,American,11/4/14,1397188800,,53,6.9
5840,5840,Virginia Tech,CS,PhD,F14,Rejected,Website,4-Oct-14,1397102400,3.1,152,168,3,True,,International,11/4/14,1397188800,1publication grad GPA=3.8,39,2.4
5842,5842,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.3,158,161,4.5,True,,International,11/4/14,1397188800,"Long wait for a reject. Anyways, which is better, USC or University of Minnesota Twin Cities for MS, Computer Science.",53,6.9
5843,5843,Virginia Tech,CS,PhD,F14,Rejected,Website,4-Oct-14,1397102400,3.86,147,161,3.5,True,,International,11/4/14,1397188800,Expected. Two rejects in a single day.,39,2.4
5844,5844,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,161,168,3.5,True,,International,11/4/14,1397188800,,53,6.9
5845,5845,Virginia Tech,CS,PhD,F14,Rejected,Website,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,"Actually, don't care at all :D",39,2.4
5846,5846,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,Well. It was a pretty long wait.,53,6.9
5847,5847,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.91,153,166,4,True,,International,11/4/14,1397188800,,53,6.9
5848,5848,Washington State University (WSU),CS,MS,F14,Rejected,E-mail,4-Aug-14,1396929600,,,,,,,International,11/4/14,1397188800,,12,1.4
5849,5849,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,,53,6.9
5850,5850,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.2,153,164,3.5,True,,International,11/4/14,1397188800,5th Reject in a row. No admits. Waiting on 3 more.,53,6.9
5851,5851,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.76,164,163,4,False,,International,11/4/14,1397188800,"One admit, 5 rejects. Going to UIUC now.",53,6.9
5852,5852,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,3.4,155,168,3.5,True,,International,11/4/14,1397188800,Admit from USC!,53,6.9
5853,5853,"University Of California, San Diego (UCSD)",CS,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,,53,6.9
5854,5854,New York University (NYU),CS,MS,F14,Accepted,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,so happy,46,4.3
5855,5855,"University Of Texas, Austin (UT Austin)",ECE,MS,F14,Rejected,E-mail,4-Nov-14,1397188800,,152,170,4,True,,International,11/4/14,1397188800,email to check website for status. Software Engineering track. Disappointed. :(,42,5.4
5856,5856,University Of Southern California (USC),CS,MS,F14,Accepted,Postal Service,4-Oct-14,1397102400,3.4,145,161,3,True,,International with US Degree,11/4/14,1397188800,"Finally one Cali school. GPA 3.4, 2 years of working experience, decent GRE, good LOR and SOP. no research or publication.",50,5.7
5857,5857,Johns Hopkins University (JHU),CS,MS,F14,Accepted,E-mail,4-Jun-14,1396756800,,,,,,,International,11/4/14,1397188800,"No funding, will probably go to Georgia Tech.",22,2.4
5858,5858,Clemson University,CS,MS,F14,Accepted,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,Email to check wesbite,16,1.3
5859,5859,"University Of Florida, Gainesville (UFL)",CS,MS,F14,Accepted,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,$4500 tuition waiver,23,1.9
5860,5860,Virginia Tech,CS,MS,F14,Rejected,Website,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,,39,2.4
5862,5862,Virginia Tech,CS,MS,F14,Rejected,Website,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,'We are unable to offer admission'.,39,2.4
5863,5863,Virginia Tech,CS,MS,F14,Rejected,Website,4-Nov-14,1397188800,,153,163,3,True,,International,11/4/14,1397188800,,39,2.4
5864,5864,University Of Central Florida (UCF),CS,PhD,F14,Accepted,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,Offered TA,24,2
5865,5865,University Of Central Florida (UCF),CS,PhD,F14,Accepted,E-mail,4-Nov-14,1397188800,,,,,,,International,11/4/14,1397188800,Guys please share your status?? Any information on funding,24,2
5866,5866,Brandeis University,CS,PhD,F14,Rejected,Website,4-Oct-14,1397102400,3.86,147,161,3.5,True,,International,11/4/14,1397188800,"It hurts a lot when your POI rejects you at very last moment with lame excuse ""I am not taking any new student this year"" ; although he encouraged me to apply as he was interested in my previous research work. Anyway the department is not so big for research and I have better options.",6,1.1
5867,5867,University Of Southern California (USC),CS,MS,F14,Accepted,E-mail,4-Oct-14,1397102400,3.82,151,158,4,True,,International,11/4/14,1397188800,"Submitted on 3rd Jan, Forwarded to Department on February, Decision on 10th March.Good SOP, 2 strong LOR's, one conference publication.",50,5.7
5868,5868,Brandeis University,CS,PhD,F14,Rejected,Website,4-Oct-14,1397102400,3.67,147,164,3,True,,International,10/4/14,1397102400,mail to check my application status. 2 papers and one submitted journal. Wish good news for others.,6,1.1
5869,5869,Virginia Tech,CS,MS,F14,Rejected,Website,4-Oct-14,1397102400,3.2,155,160,3.5,True,,International,10/4/14,1397102400,5th reject in a row. Low on morale. Just a few more to go. I just hope I get into one of them..,39,2.4
5870,5870,Pennsylvania State University (Penn State),CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.63,155,162,3.5,True,,International,10/4/14,1397102400,,33,3.4
5873,5873,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.33,157,170,4,True,,American,10/4/14,1397102400,"Poor GPA, Solid GRE. 2+ years research experience. 2 pubs: 1 conference (best paper award), i journal. Machine learning interest.",53,6.9
5874,5874,New York University (NYU),CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.33,157,170,4,True,,American,10/4/14,1397102400,"Poor GPA, Solid GRE. 2+ years research experience. 2 pubs: 1 conference (best paper award), i journal. Machine learning interest.",46,4.3
5876,5876,New York University (NYU),CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,,46,4.3
5877,5877,"University Of California, Irvine (UCI)",CS,MS,F14,Accepted,E-mail,4-Oct-14,1397102400,,,,,,,American,10/4/14,1397102400,"Won't be accepting offer, already accepted UCLA. Good luck to everyone!",55,4.3
5878,5878,New York University (NYU),CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,Rejected in second round,46,4.3
5879,5879,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.75,164,163,5,True,,American,10/4/14,1397102400,"Received at 3am EST, so midnight PST. I withdrew my application a month ago. Not sure if that's why I got filed under ""rejection"" or if they were going to reject me anyway. BS in math, BA in computer science with a concentration in linguistics. 7 mos research experience in other CS field at time of application. One weak LOR, one decent (not from researcher), one strong. Female. ~3.9 GPA in both majors. Wanted to move to San Diego and looked for researchers that are close enough. :P",53,6.9
5880,5880,"University Of California, Davis (UCD)",ECE,PhD,F14,Wait listed,E-mail,4-Oct-14,1397102400,,,,,,,American,10/4/14,1397102400,Wait listed.... please decline soon if you received a better offer :),28,2.9
5881,5881,"University Of Nebraska, Lincoln",CS,PhD,F14,Accepted,Other,4-Oct-14,1397102400,,,,,,,Other,10/4/14,1397102400,Have you heard any news about funding from the department?,17,1.5
5882,5882,University Of Central Florida (UCF),CS,PhD,F14,Accepted,E-mail,2-Apr-14,1391490000,,,,,,,International with US Degree,10/4/14,1397102400,Any news on funding yet??,24,2
5884,5884,Brandeis University,CS,PhD,F14,Rejected,Website,4-Oct-14,1397102400,3.72,156,165,4,True,,International with US Degree,10/4/14,1397102400,"Haven't heard from them, I think I am rejected. Has anyone else heard from the department?",6,1.1
5885,5885,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.76,141,161,3,True,,International,10/4/14,1397102400,I loved UCSD ... :(,53,6.9
5886,5886,Duke University,CS,PhD,F14,Rejected,Website,4-May-14,1396670400,,155,169,3.5,True,,International,10/4/14,1397102400,"TOEFL(R:27,L:28,S:23,W:22). Japanese undergraduate. Mediocre GPA and low GRE, TOEFL.  Good luck for those who got admitted.",22,2.8
5887,5887,"University Of California, Santa Barbara (UCSB)",CS,PhD,F14,Rejected,Website,4-Oct-14,1397102400,,155,169,3.5,True,,International,10/4/14,1397102400,"TOEFL(R:27,L:28,S:23,W:22). Japanese undergraduate. Mediocre GPA and low GRE, TOEFL.  Good luck for those who got admitted.",25,3.5
5889,5889,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.8,142,165,2.5,True,,International,10/4/14,1397102400,"Three strong LoRs, TOEFL : 101. Already got an offer from a better university.",53,6.9
5891,5891,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,,53,6.9
5892,5892,Dartmouth College,CS,MS,F14,Accepted,E-mail,4-Sep-14,1397016000,,,,,,,International,10/4/14,1397102400,,15,1.9
5893,5893,University Of Southern California (USC),CS,MS,F14,Accepted,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,,50,5.7
5896,5896,"University Of California, San Diego (UCSD)",CS,PhD,S14,Rejected,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,,53,6.9
5897,5897,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,3.6,159,170,3,True,,International,10/4/14,1397102400,"Have admits from- Cornell, CMU, UIUC, GT, UT and UWisc!!",53,6.9
5898,5898,"University Of California, San Diego (UCSD)",CS,PhD,F14,Rejected,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,nothing to say,53,6.9
5900,5900,Rice University,CS,MS,F14,Rejected,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,Probably first round of rejection  :(,19,2.8
5902,5902,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F14,Accepted,E-mail,4-Oct-14,1397102400,3.73,153,170,3.5,True,,International with US Degree,10/4/14,1397102400,"I'm the one who asked where my email should go. The original thread has been deleted. 1 yr TA, 1 yr intern, couple research projects",37,3.1
5903,5903,Columbia University,CS,PhD,F14,Accepted,E-mail,4-Oct-14,1397102400,,,,,,,International,10/4/14,1397102400,,47,5.8
5905,5905,Georgia Institute Of Technology (GTech),CS,MS,F14,Rejected,Website,4-Oct-14,1397102400,,,,,,,,10/4/14,1397102400,"Did you check the website?  For me, they posted a rejection letter, but never sent an email to tell me to look there.",73,6.7
5906,5906,Nothwestern University,CS,MS,F13,Accepted,E-mail,4-Sep-14,1397016000,3.8,160,150,3.5,True,,International,9/4/14,1397016000,,37,3.4
5908,5908,Rice University,CS,MS,F14,Rejected,E-mail,4-Sep-14,1397016000,,,,,,,International,9/4/14,1397016000,Rejected. Their email was short and polite.,19,2.8
5910,5910,"University Of California, Santa Barbara (UCSB)",CS,PhD,F14,Rejected,E-mail,4-Sep-14,1397016000,3.58,145,168,3,True,,International,9/4/14,1397016000,not surprisingly..,25,3.5
5911,5911,Oregon State University,CS,PhD,F14,Rejected,E-mail,4-Feb-14,1396411200,3.55,152,159,3,False,,International,9/4/14,1397016000,Three publications from undergrad ... still rejected ... did not contact professors ... I already have accepted a better offer,30,2.8
5912,5912,College Of William & Mary,CS,PhD,F14,Accepted,E-mail,19-03-2014,1395201600,3.55,152,159,,False,,International with US Degree,9/4/14,1397016000,Three publications from undergrad ... no word on funding though ... contacted professors but no reply,12,1.6
5913,5913,Virginia Tech,CS,MS,F14,Accepted,Postal Service,3-Sep-14,1394341200,3.55,152,159,3,False,,International with US Degree,9/4/14,1397016000,Three publications from undergrad ... no word on funding though ... contacted professors but no reply,39,2.4
5914,5914,"University Of California, Santa Barbara (UCSB)",CS,PhD,F14,Rejected,E-mail,4-Sep-14,1397016000,3.33,157,170,4,True,,American,9/4/14,1397016000,"Email to check website. Low GPA, solid GREs. 2+ years research experience. 2 publications: 1 conference (best paper award), 1 journal. Machine Learning interest.",25,3.5
5915,5915,"University Of California, Santa Barbara (UCSB)",CS,PhD,F14,Rejected,E-mail,4-Sep-14,1397016000,,,,,,,International,9/4/14,1397016000,,25,3.5
5916,5916,"University Of California, Santa Barbara (UCSB)",CS,PhD,F14,Rejected,E-mail,4-Sep-14,1397016000,3.1,150,170,3,True,,,9/4/14,1397016000,"email to  check the website, and here it goes, dreams ruined :) good luck to the others :)",25,3.5
5919,5919,Columbia University,CS,MS,F14,Accepted,E-mail,4-Sep-14,1397016000,3.2,147,163,2.5,True,,International,9/4/14,1397016000,,47,5.8
5920,5920,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F14,Accepted,E-mail,4-Sep-14,1397016000,3.3,158,161,4.5,True,,International,9/4/14,1397016000,"First admit after rejects from UCB, UIUC, UT Austin, Georgia Tech! So so relieved!! :) Since I hadn't heard from them, I wrote to them and they replied saying that I had been accepted! Since they also said that the official email from the grad school will be sent next week, I'm guessing that all other notifications will also be done at that time.All d best to guys who haven't got admits yet. Don't lose hope. :-)",37,3.1
5921,5921,Cornell University,CS,PhD,F14,Rejected,E-mail,4-Aug-14,1396929600,,,,,,,American,9/4/14,1397016000,Emailed with inquiry since I had not heard from them. They claimed they sent out rejections a month ago and it must've gotten caught in my spam filter (it didn't). Did this happen to others?,68,8.7
5922,5922,"Texas A&M University, College Station (TAMU)",CS,PhD,F14,Accepted,E-mail,4-Aug-14,1396929600,3.61,153,169,3,True,,International,9/4/14,1397016000,5 years of TA or RA,38,3.1
5926,5926,"University Of Michigan, Ann Arbor (UMich)",CS,PhD,F14,Accepted,E-mail,4-Sep-14,1397016000,3.75,152,165,4,True,,International,9/4/14,1397016000,"undergrad from SJTU, 1 top-tier conference submission, strong LoRs, applied for machine learning and computer vision, interviewed last week",63,8.6
5928,5928,Ohio State University (OSU),CS,MS,F14,Rejected,E-mail,3-Sep-14,1394341200,,,,,,,,9/4/14,1397016000,Sigh. Another reject.,35,3.4
5931,5931,Georgia Institute Of Technology (GTech),CS,PhD,F14,Rejected,Website,4-Sep-14,1397016000,,,,,,,International,9/4/14,1397016000,"6 paper still got rejected, I didn't get any offer so far :(:(:(:(:(",73,6.7
5932,5932,Columbia University,CS,MS,F14,Accepted,E-mail,4-Aug-14,1396929600,4,163,168,,True,,International with US Degree,9/4/14,1397016000,No funding :(,47,5.8
5933,5933,Pennsylvania State University (Penn State),CS,PhD,F14,Rejected,E-mail,4-Sep-14,1397016000,,,,,,,International,9/4/14,1397016000,,33,3.4
5934,5934,"University Of Florida, Gainesville (UFL)",CS,MS,F14,Accepted,E-mail,4-Sep-14,1397016000,3.7,155,163,4,True,,International with US Degree,9/4/14,1397016000,Also got an achievement award scholarship for New Engineering Graduate Students. partial tuition waiver of $1500 a semester.,23,1.9
5937,5937,Pennsylvania State University (Penn State),CS,PhD,F14,Rejected,E-mail,4-Aug-14,1396929600,,,,,,,International,8/4/14,1396929600,,33,3.4
5938,5938,New York University (NYU),CS,MS,F14,Accepted,E-mail,4-Aug-14,1396929600,3.73,157,164,4.5,True,,American,8/4/14,1396929600,,46,4.3
5939,5939,Georgia Institute Of Technology (GTech),CS,PhD,F14,Rejected,Website,4-Aug-14,1396929600,,,,,,,International with US Degree,8/4/14,1396929600,,73,6.7
5940,5940,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F14,Accepted,E-mail,4-Aug-14,1396929600,,,,,,,American,8/4/14,1396929600,sent them an email and got the answer that i'm accepted.,37,3.1
5941,5941,University Of Notre Dame,CS,MS,F14,Rejected,Website,4-Aug-14,1396929600,3.54,155,156,4,True,,International,8/4/14,1396929600,"Their loss, though I certainly had high hopes for this program.",22,1.9
5942,5942,Cornell University,ECE,PhD,F14,Accepted,E-mail,4-Aug-14,1396929600,3.86,156,166,3,True,,International,8/4/14,1396929600,,68,8.7
5944,5944,University Of Notre Dame,CS,MS,F14,Rejected,Website,4-Aug-14,1396929600,3.3,152,170,4,True,,International,8/4/14,1396929600,Rejected by Notre Dame... so sad to do anything,22,1.9
5945,5945,University Of Notre Dame,CS,PhD,F14,Accepted,E-mail,4-Aug-14,1396929600,,,,,,,American,8/4/14,1396929600,I'll accept the this offer. I wish good luck to other applicants.,22,1.9
5947,5947,Ohio State University (OSU),CS,PhD,F14,Accepted,Website,4-Aug-14,1396929600,,,,,,,International,8/4/14,1396929600,From Amirkabir University. Hopefully waiting for funding. So excited. Thanks God :D,35,3.4
5948,5948,"University Of Texas, Austin (UT Austin)",ECE,MS,F14,Rejected,E-mail,4-Aug-14,1396929600,3.5,169,165,5,True,,International,8/4/14,1396929600,"Sent a mail to Barry Levitch, Grad coordinator, who said that its most likely a denial. Why don't you just say its denied and be over with it? Very unprofessional from the University in general. They rarely reply to mails and still haven't updated my status.",42,5.4
5949,5949,University Of Notre Dame,CS,MS,F14,Rejected,E-mail,4-Aug-14,1396929600,,,,,,,International with US Degree,8/4/14,1396929600,"10th Rejection, woot! This probably my cue to stop trying.",22,1.9
5952,5952,Columbia University,CS,MS,F14,Accepted,E-mail,4-Jul-14,1396843200,,,,,,,American,8/4/14,1396929600,As far as I know there won't be any funding for MS students,47,5.8
5953,5953,Columbia University,CS,MS,F14,Accepted,E-mail,4-Aug-14,1396929600,3.8,166,157,4,True,,International,8/4/14,1396929600,Did anybody receive any word on funding ?,47,5.8
5956,5956,Purdue University,ECE,PhD,F14,Rejected,E-mail,4-Mar-14,1396497600,,,,,,,International with US Degree,8/4/14,1396929600,"Undergrad from an Ivy League. Who the f**k do these Purdue people think they are? You don't reject me, I reject you, you morons.",53,4.8
5957,5957,Oregon State University,ECE,PhD,F14,Rejected,E-mail,4-Aug-14,1396929600,,,,,,,International,8/4/14,1396929600,bad luck. but have better choice,30,2.8
5961,5961,"University Of California, Los Angeles (UCLA)",CS,MS,F14,Rejected,E-mail,4-May-14,1396670400,3.3,154,169,4,True,,International,8/4/14,1396929600,,37,5
5962,5962,Columbia University,CS,MS,F14,Accepted,E-mail,4-Aug-14,1396929600,3,160,168,3.5,True,,International,8/4/14,1396929600,,47,5.8
5964,5964,University Of Virginia (UVA),ECE,PhD,F14,Rejected,Website,4-Jul-14,1396843200,,,,,,,International,8/4/14,1396929600,"Pahahahaha! Of all fishes in the ocean, a wrecked school like UVa had the guts to reject me? These guys are a joke with no punch line. I've been admitted to far better programs. Charlottesville, Viginia can suck it!!! On the flip side, my horoscope warned me about applying to this school. I should have listened!",21,2.4
5966,5966,"University Of California, Davis (UCD)",ECE,PhD,F14,Accepted,E-mail,4-Jun-14,1396756800,3.9,165,170,4,True,,International,8/4/14,1396929600,,28,2.9
5967,5967,"University Of California, Los Angeles (UCLA)",CS,MS,F14,Accepted,E-mail,27-03-2014,1395892800,,,,,,,American,8/4/14,1396929600,"To the ones who got admitted, has anybody got the email regarding the SIR yet?",37,5
5968,5968,Georgia Institute Of Technology (GTech),CS,PhD,F14,Rejected,Website,4-Aug-14,1396929600,,,,,,,International with US Degree,8/4/14,1396929600,"2nd round of decision, but still rejected",73,6.7
5969,5969,Columbia University,CS,MS,S14,Accepted,E-mail,4-Jul-14,1396843200,3.7,142,168,3,True,,American,7/4/14,1396843200,"1 year of work experience, TA for a known professor and my wife biggest support :)",47,5.8
5970,5970,Columbia University,CS,MS,F14,Accepted,E-mail,4-Jul-14,1396843200,,,,,,,American,7/4/14,1396843200,,47,5.8
5971,5971,"University Of Washington, Seattle (UW)",CS,MS,F14,Accepted,E-mail,4-Jul-14,1396843200,,,,,,,American,7/4/14,1396843200,Supposed to hear about scholarship / RA positions by next week Definitely will be important in my decision since it will be out of state.,57,8.4
5972,5972,Michigan State University (MSU),CS,PhD,F14,Accepted,E-mail,4-Jul-14,1396843200,,,,,,,International,7/4/14,1396843200,,19,1.9
5979,5979,Georgia Institute Of Technology (GTech),ECE,MS,F14,Accepted,E-mail,4-Jul-14,1396843200,,,,,,,International,7/4/14,1396843200,,73,6.7
5980,5980,University Of Central Florida (UCF),CS,PhD,F14,Accepted,E-mail,15-02-2014,1392440400,,,,,,,International with US Degree,7/4/14,1396843200,"To the guy asking about UCF funding, I haven't heard anything from their side. By the way, what is the last date to accept/reject the admission offer",24,2
5981,5981,"University Of California, Los Angeles (UCLA)",CS,MS,F14,Rejected,E-mail,4-Apr-14,1396584000,,,,,,,International,7/4/14,1396843200,,37,5
5982,5982,University Of Central Florida (UCF),CS,PhD,F14,Accepted,E-mail,2-Apr-14,1391490000,,,,,,,International with US Degree,7/4/14,1396843200,Any news on funding from the department?,24,2
5983,5983,"University Of Maryland, College Park (UMD)",CS,MS,F14,Rejected,E-mail,4-Jul-14,1396843200,,155,167,4,True,,International,7/4/14,1396843200,"Website said decision had been made on 1st April, but there was no word on what it was. So emailed them and they said..",52,6.4
5985,5985,"University Of Maryland, College Park (UMD)",CS,PhD,F14,Rejected,E-mail,4-Jul-14,1396843200,,,,,,,International,7/4/14,1396843200,"According to the website, decision has been made but I could not find anything, so I asked them via email and they said ...",52,6.4
5986,5986,Dartmouth College,CS,PhD,F14,Rejected,E-mail,4-Jul-14,1396843200,,,,,,,International with US Degree,7/4/14,1396843200,,15,1.9
5987,5987,Dartmouth College,CS,PhD,F14,Rejected,E-mail,4-Jul-14,1396843200,,,,,,,International,7/4/14,1396843200,,15,1.9
